c498-902 stampede tacc utexas edu
Running on sampede.tacc.xsede.org
TACC: Starting up job 7716193
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
LAMMPS (10 Feb 2015)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 10 10 10
Reading data file ...
  orthogonal box = (-58.1437 -58.1437 -58.1437) to (58.1437 58.1437 58.1437)
  2 by 2 by 4 MPI processor grid
  reading atoms ...
  12288 atoms
Changing box ...
  triclinic box = (-58.1437 -58.1437 -58.1437) to (58.1437 58.1437 58.1437) with tilt (0 0 0)
Reading potential file CH.airebo with DATE: 2011-10-25
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 7
Setting up minimization ...
Memory usage per processor = 5.10815 Mbytes
Step Temp PotEng Press Pxx Pyy Pzz Pxy Pxz Pyz Lx Ly Lz Volume 
   49500            0   -93956.082   -22.423319   -26.778385   -13.882974   -26.608598  -0.10824581  -0.25428351   0.17092303    114.70153    114.69667    114.70066    1508988.4 
   50000            0   -93979.783   -5.0501099   -7.3931063   0.59834429   -8.3555677  -0.12418144  -0.37179875   0.23130561      114.646    114.64319    114.64535    1506827.6 
   50500            0   -94000.738   0.62053495   -6.5420953   -5.0325635    13.436264  -0.12154859  -0.44131156   0.27028244    114.59921    114.59888    114.59087    1504915.1 
   51000            0   -94024.457   -2.4419748   -4.1113114   0.35151833   -3.5661312  -0.10317714   -0.4381011   0.27515736    114.54235    114.54102    114.54094    1502753.9 
   51500            0   -94052.826    6.5752046    2.2305249    38.182014   -20.686925 -0.073725104  -0.38866217   0.25443459    114.47667    114.46397    114.48358    1500130.3 
   52000            0   -94080.177   -5.1540596    -16.24948   -2.8892069    3.6765078 -0.053539771  -0.37287816    0.2433578    114.41993     114.4153    114.41135    1497803.7 
   52500            0    -94108.91   0.94113429    2.2922655  -0.06111846   0.59225577 -0.037338951  -0.36408066   0.22281252     114.3504    114.35138     114.3495    1495248.5 
   53000            0   -94129.954    13.736349    11.661234    18.635458    10.912355 -0.026976339  -0.36173927   0.19970655    114.30231    114.29994    114.30095    1493312.9 
   53500            0   -94148.273   -2.3756183  -0.16055225   -4.1268379   -2.8394649 -0.025784397  -0.35231554   0.17191973    114.26198    114.26348    114.26155    1491795.5 
   54000            0   -94167.362      1.80843  -0.16222783    1.2951259     4.292392 -0.029348892  -0.33423239   0.13448342    114.21879    114.21839    114.21554    1490042.9 
   54500            0   -94187.838   -11.097109     -9.03781    -9.159443   -15.094073 -0.034201776   -0.3174942  0.094905009     114.1706    114.17076    114.17115    1488214.6 
   55000            0    -94209.68   -49.329327   -42.068055   -91.461778   -14.458147 -0.043158934  -0.29615151  0.061623605    114.11909    114.13725    114.10681    1486268.4 
   55500            0   -94228.401    12.796471    25.040839   -9.7389866     23.08756 -0.047293685  -0.27228507  0.037044364    114.05824    114.07084    114.05739    1483968.7 
   56000            0   -94249.613   -2.2225703   -6.1934358   -6.2320122    5.7577371 -0.049934154  -0.22299013 0.0063401643    114.00827    114.00849    114.00233    1481792.1 
   56500            0   -94271.119   -19.898089   -10.690072   -19.600692   -29.403504 -0.060537431  -0.09110426 -0.055325641    113.94631    113.94956    113.95237    1479572.7 
   57000            0   -94292.346    16.290422    55.042763    13.152176   -19.323672 -0.072196592 -0.047974103 -0.084599511      113.875    113.89019    113.90052    1477203.9 
   57500            0   -94314.414    4.6857786    2.8295222    6.3065962    4.9212173 -0.097989779 -0.090762181  -0.11063489    113.83948    113.83844     113.8376    1475256.6 
   58000            0   -94337.312    9.4853347    7.9517211    10.884208    9.6200747  -0.11065035  -0.35682674  -0.11570177    113.78856     113.7877    113.78654    1473278.4 
   58500            0   -94358.837   -13.454925   -12.842486    -14.80147   -12.720819  -0.14392912  -0.48275607 -0.053132327    113.74078    113.74147     113.7392      1471449 
   59000            0   -94378.547    5.5976349    12.817734    8.2898107   -4.3146402  -0.18480282  -0.35903793 -0.057476842    113.68357     113.6851    113.68839    1469323.4 
   59500            0   -94402.868    1.6223553    3.1506385    1.4416321   0.27479515  -0.22886329  -0.19620379 -0.094791071    113.62109    113.62159    113.62119    1466827.9 
   60000            0   -94422.681   -12.298888   -2.7787896    15.833121   -49.950997  -0.24239963 -0.081904354 -0.065154617    113.56727    113.56058    113.58322      1464856 
   60500            0   -94443.381   -1.1020149   -1.6409044    -1.891139   0.22599884  -0.20337166  0.029982936 -0.0096996867    113.51102    113.51114    113.50982    1462547.5 
   61000            0   -94465.168   -1.1387838   -1.1416853    2.0042067   -4.2788729  -0.12398271   0.07874138  0.010808952    113.44812    113.44794    113.44876    1460137.3 
   61500            0   -94481.468   0.43179368    3.3726957    27.251728   -29.329042 -0.071864752  0.086927453  0.013887747    113.39972    113.38993    113.40998    1458269.3 
   62000            0   -94497.167    26.365512    33.465825    23.989504    21.641206 -0.049629344 -0.046404976   0.32058253    113.34598    113.34943    113.35006    1456287.8 
   62500            0   -94513.949   -27.702782   -35.982001   -23.210821   -23.915525  -0.20555001   0.14135719  -0.50217639    113.30771    113.30323    113.30282    1454596.3 
   63000            0   -94525.275   -31.342356   -66.912011   -24.443042   -2.6720157 -0.097839813   0.29266901  0.012906907    113.28177    113.26628     113.2573    1453204.9 
   63500            0   -94536.285    29.928146    33.909546    41.592407    14.282486 -0.014533294  0.081075708  0.021709818    113.21789    113.21543    113.22496    1451318.9 
   64000            0   -94548.359    9.5201221    7.6350698    17.342807    3.5824897  -0.35858973    0.1489814   0.17541388    113.17857    113.17499    113.17997    1449720.3 
   64500            0   -94559.547   -16.140191   -19.337803   -18.820101    -10.26267    0.3065507   0.52534529  -0.21507657    113.14055    113.14035    113.13653    1448233.8 
   65000            0   -94569.334   -36.056288   -52.557434   -22.469147   -33.142283  0.035445543  0.065051148 0.0085695532    113.10915    113.09827    113.10182    1446849.2 
   65500            0   -94578.779    56.207229    55.744772    59.687336    53.189578  0.067932226  0.033065389 -0.0059372076    113.04629    113.04496    113.04701    1444663.2 
   66000            0   -94586.221   -30.262753    -35.28754   -39.177695   -16.323023   0.24983151   0.12816372 -0.082096391    113.03011    113.03245    113.02263    1443985.1 
   66500            0   -94596.429   -3.2719622    5.6516442   -4.4984658   -10.969065  0.038622975  -0.19663661  0.025300631    112.97408    112.97782    112.97982    1442025.3 
   67000            0   -94605.827    19.071389      40.1144   -9.9564098    27.056177   0.10558844    0.0305576  -0.15652849    112.92066    112.93931    112.92531      1440157 
   67500            0   -94613.936   -10.884287   -18.866597   -12.532621   -1.2536409  0.040318847  0.082043779  0.016684701    112.89705    112.89489    112.89052    1438846.2 
   68000            0   -94622.846  -0.24314986     3.625318   -6.9441599    2.5893924   0.77287883   0.34792344   0.13104785    112.84534    112.84998    112.84608      1437049 
   68500            0   -94632.867   -3.6720844   -13.119299    6.1961575   -4.0931114 -0.0030339207  0.058256792   0.00417135    112.79832    112.79143    112.79503    1435055.6 
   69000            0   -94639.456   -12.013708    -18.37424   -10.538839   -7.1280447  0.010515333  0.057047602  0.003115307    112.76317    112.76026    112.75902    1433753.9 
   69500            0   -94644.348    8.8291285    17.697805    7.0880181    1.7015619 -0.016593825  0.096459212   0.28923048    112.72665    112.73054    112.73228      1432572 
   70000            0   -94649.646   -63.929832   -48.609841   -86.603761   -56.575894   0.70931443    1.1866205   0.25837744    112.70516    112.71994    112.71009    1431882.4 
   70500            0   -94655.601     18.55835    35.238838    4.2516384    16.184574  -0.13879761   0.17444726  0.029370301    112.65735     112.6688    112.66435    1430045.1 
   71000            0   -94661.211   -15.717464    10.000282   -19.901586   -37.251089 0.0081316289  0.049287614 0.0007351829    112.62685    112.63798    112.64415    1429010.7 
   71500            0   -94665.681   -58.237853   -50.108334    -64.50678   -60.098444 0.0053486849  0.047443408 0.0017063268    112.61102    112.61656    112.61466    1428164.1 
   72000            0   -94671.368   -11.608432    -2.021601   -29.455535   -3.3481584   0.50313454   0.41989369  0.074282777    112.56971    112.57985    112.57034      1426613 
   72500            0   -94677.286    8.4829097    16.545998   -2.6939633    11.596694   0.44008542 -0.028874395   0.59906401    112.52834    112.53565     112.5301    1425019.4 
   73000            0   -94680.052     11.80236    13.216628   -20.313455    42.503908 -0.073172257  0.057710059 -0.013151162    112.51287    112.52522    112.50229    1424339.3 
   73500            0   -94686.569    1.4380464   -10.525892     13.47865    1.3613805  -0.10665874  0.034456108  0.024991205    112.47629    112.46688    112.47193    1422753.8 
